id;nazov;skratka
1;#SIEŤ;#SIEŤ
2;Aliancia nového občana;ANO
3;Demokratická strana;DS
4;Demokratická únia Slovenska;DÚ
5;Hnutie za demokratické Slovensko a Roľnícka strana Slovenska;HZDS-RSS
6;Komunistická strana Československa;KSČ
7;Komunistická strana Slovenska;KSS
8;Kotlebovci - Ľudová strana Naše Slovensko;ĽS Naše Slovensko
9;Kresťanskodemokratické hnutie;KDH
10;Ľudová strana - Hnutie za demokratické Slovensko;ĽS-HZDS
11;Maďarská koalícia;MK
12;Maďarské kresťanskodemokratické hnutie, Együttélés - Spolužitie;MKM - EGY
13;MOST - HÍD;MOST-HÍD
14;OBYČAJNÍ ĽUDIA a nezávislé osobnosti;OĽaNO
15;Sloboda a Solidarita;SaS
16;Slovenská demokratická a kresťanská únia - Demokratická strana;SDKÚ-DS
17;Slovenská demokratická koalícia;SDK
18;Slovenská národná strana;SNS
19;SME RODINA - Boris Kollár;SME RODINA 
20;SMER - sociálna demokracia;SMER-SD
21;Spoločná voľba;SV
22;Strana demokratickej ľavice;SDĽ
23;Strana maďarskej komunity - Magyar Közösség Pártja;SMK-MKP
24;Strana občianskeho porozumenia;SOP
25;Strana zelených;SZ
26;Verejenosť proti násiliu;VPN
27;Združenie robotníkov Slovenska;ZRS
28; Nová agrárna strana;NAS
29;Národno-demokratická strana;NDS
30;Za ľudí;Za ľudí
