id;nazov
1;Minister bez kresla
2;Ministerstvo dopravy
3;Ministerstvo dopravy a spojov
4;Ministerstvo dopravy, pôšt a telekomunikácií
5;Ministerstvo dopravy, spojov a verejných prác
6;Ministerstvo dopravy, výstavby a regionálneho rozvoja
7;Ministerstvo financií
8;Ministerstvo financií, cien a miezd
9;Ministerstvo hospodárstva
10;Ministerstvo kontroly
11;Ministerstvo kultúry
12;Ministerstvo lesného a vodného hospodárstva
13;Ministerstvo lesného a vodného hospodárstva a drevospracujúceho priemyslu
14;Ministerstvo medzinárodných vzťahov
15;Ministerstvo obchodu a cestovného ruchu
16;Ministerstvo obrany
17;Ministerstvo plánovania
18;Ministerstvo pôdohospodárstva
19;Ministerstvo pôdohospodárstva a rozvoja vidieka
20;Ministerstvo poľnohospodárstva a výživy
21;Ministerstvo práce
22;Ministerstvo práce a sociálnych vecí
23;Ministerstvo práce, sociálnych vecí a rodiny
24;Ministerstvo pre hospodársku stratégiu
25;Ministerstvo pre správu a privatizáciu národného majetku
26;Ministerstvo priemyslu
27;Ministerstvo školstva
28;Ministerstvo školstva a vedy
29;Ministerstvo školstva, mládeže a športu
30;Ministerstvo školstva, mládeže a telesnej výchovy
31;Ministerstvo školstva, vedy, mládeže a športu
32;Ministerstvo sociálnych vecí
33;Ministerstvo spravodlivosti
34;Ministerstvo vnútra
35;Ministerstvo vnútra a životného prostredia
36;Ministerstvo výstavby
37;Ministerstvo výstavby a regionálneho rozvoja
38;Ministerstvo výstavby a stavebníctva
39;Ministerstvo výstavby a verejných prác
40;Ministerstvo zahraničia
41;Ministerstvo zahraničných vecí
42;Ministerstvo zahraničných vecí a európskych záležitostí
43;Ministerstvo zdravotníctva
44;Ministerstvo zdravotníctva a sociálnych vecí
45;Ministerstvo životného prostredia
46;Podpredseda vlády
47;Podpredseda vlády pre ekonomickú integráciu 
48;Podpredseda vlády pre ekonomiku
49;Podpredseda vlády pre európske záležitosti, ľudské práva a menšiny
50;Podpredseda vlády pre európsku integráciu
51;Podpredseda vlády pre hospodárstvo
52;Podpredseda vlády pre investície
53;Podpredseda vlády pre investície a informatizáciu
54;Podpredseda vlády pre legistalitvu
55;Podpredseda vlády pre ľudské a menšinové práva a regionálny rozvoj
56;Podpredseda vlády pre ľudské práva a menšiny
57;Podpredseda vlády pre neekonomické rezorty
58;Podpredseda vlády pre sociálny a duchovný rozvoj 
59;Podpredseda vlády pre vedomostnú spoločnosť, európske záležitosti, ľudské práva a menšiny
60;Predseda vlády
61;Prvý podpredseda vlády
62;Slovenská komisia pre plánovanie a vedecko-technický rozvoj
63;Slovenská komisia pre životné prostredie
64;Úrad pre privatizáciu a správu národného majetku
65;Výbor ľudovej kontroly
66;Ministerstvo školstva, vedy, výskumu a športu
67;Ministerstvo poľnohospodárstva a rozvoja vidieka
68;Ministerstvo poľnohospodárstva
