id;id_volby;id_strany;kresla;koalicia
1;1;26;48;1
2;1;9;31;1
3;1;18;22;0
4;1;6;22;0
5;1;12;14;1
6;1;4;7;1
7;1;25;6;0
8;2;10;74;1
9;2;22;29;0
10;2;9;18;0
11;2;18;15;1
12;2;12;14;0
13;3;5;61;1
14;3;21;18;0
15;3;11;17;0
16;3;9;17;0
17;3;4;15;0
18;3;27;13;1
19;3;18;9;1
20;4;10;43;0
21;4;17;42;1
22;4;22;23;1
23;4;23;15;1
24;4;18;14;0
25;4;24;13;1
26;5;10;36;0
27;5;16;28;1
28;5;20;25;0
29;5;23;20;1
30;5;9;15;1
31;5;2;15;1
32;5;7;11;0
33;6;20;50;1
34;6;16;31;0
35;6;18;20;1
36;6;23;20;0
37;6;10;15;1
38;6;9;14;0
39;7;20;62;0
40;7;16;28;1
41;7;15;22;1
42;7;9;15;1
43;7;13;14;1
44;7;18;9;0
45;8;20;83;1
46;8;9;16;0
47;8;14;16;0
48;8;13;13;0
49;8;16;11;0
50;8;15;11;0
51;9;20;49;1
52;9;15;21;0
53;9;14;19;0
54;9;18;15;1
55;9;8;14;0
56;9;19;11;0
57;9;13;11;1
58;9;1;10;1
59;10;14;53;0
60;10;20;38;0
61;10;19;17;0
62;10;8;17;0
63;10;15;13;0
64;10;30;12;0
